,exchangeId,encodedCustNo,name,nickName,isAlwaysOn,jobCount,industryMean,mean,meanNonSupervisor,medianNonSupervisor
718,3413,5wngyqo,京鼎精密科技股份有限公司,京鼎,True,75,193.8,147.2,137.0,128.0
1347,6488,1a2x6bj3qu,環球晶圓股份有限公司,環球晶,True,8,193.8,151.0,138.6,128.0
370,2432,a5bfboo,倚天酷碁股份有限公司,倚天酷碁-創,True,6,138.1,174.1,147.6,127.7
1241,6196,amsb7y8,帆宣系統科技股份有限公司,帆宣,True,72,134.7,181.9,163.3,127.5
763,3530,cjgrpi8,晶相光電股份有限公司,晶相光,True,2,193.8,196.7,152.7,127.1
1192,6138,7gsk3g0,茂達電子股份有限公司,茂達,True,15,193.8,146.2,145.1,127.0
1234,6188,7qfuky8,廣明光電股份有限公司_廣達關係企業,廣明,True,50,138.1,157.7,154.9,126.9
1679,9926,ga01ci8,新海瓦斯股份有限公司,新海,True,3,102.0,111.0,127.9,126.6
242,2035,ynyxsi0,唐榮鐵工廠股份有限公司,唐榮公司,True,0,97.9,112.5,112.3,126.5
1131,5525,agho7ew,順天建設股份有限公司,順天,True,9,105.5,161.3,146.1,126.1
1539,8070,apgva2g,長華電材股份有限公司,長華*,True,0,110.9,154.7,154.5,126.0
1150,5876,1e7qkpc,上海商業儲蓄銀行股份有限公司,上海商銀,True,24,134.3,144.3,139.0,126.0
1005,4951,10wkh3pc,精拓科技股份有限公司,精拓科,True,6,193.8,152.4,124.9,125.9
1480,6811,1a2x6blg3z,宏碁資訊服務股份有限公司,宏碁資訊,True,13,100.7,135.8,140.0,125.5
295,2324,9qzgnew,仁寶電腦工業股份有限公司,仁寶,True,199,138.1,140.6,140.2,125.5
999,4934,d68p2i8,太極能源科技股份有限公司,太極,True,0,90.6,190.0,136.8,125.1
346,2401,axyilo0,凌陽科技股份有限公司,凌陽,True,23,193.8,141.4,142.1,124.6
1179,6121,13sjiql4,新普科技股份有限公司,新普,True,89,138.1,128.2,141.0,124.6
1451,6735,60wvdu8,美達科技股份有限公司,美達科技,True,5,134.7,109.5,96.3,124.2
994,4919,cwxjkhc,新唐科技股份有限公司,新唐,True,57,193.8,147.2,148.4,123.9
30,1301,ys2lc2g,台塑_臺灣塑膠工業股份有限公司,台塑,True,128,111.7,136.2,136.4,123.8
1386,6576,1a2x6bj6pe,逸達生物科技股份有限公司,逸達,True,4,88.8,249.3,143.9,123.7
288,2312,20ac4uw,金寶電子工業股份有限公司,金寶,True,24,134.7,159.0,146.9,123.6
1032,5203,ay3orts,訊連科技股份有限公司,訊連,True,33,107.4,150.4,153.3,123.6
1538,8069,a5hpc9c,元太科技工業股份有限公司,元太,True,36,90.6,146.7,141.8,123.4
1162,6023,18n619w0,元大期貨股份有限公司,元大期貨,True,19,127.1,172.9,141.8,123.3
48,1326,qxz8dm8,台灣化學纖維股份有限公司,台化,False,0,111.7,131.9,135.2,122.9
1468,6785,1a2x6bjxmw,昱展新藥生技股份有限公司,昱展新藥,True,0,88.8,195.5,162.8,122.8
598,3059,18pag3zc,華晶科技股份有限公司,華晶科,True,29,90.6,155.5,131.5,122.5
656,3228,7fxkjq0,金麗科技股份有限公司,金麗科,True,9,193.8,153.4,160.3,121.6
332,2377,a6sfe9s,微星科技股份有限公司,微星,True,200,138.1,151.0,139.5,121.3
1444,6716,cos7ync,應廣科技股份有限公司,應廣,True,18,193.8,171.4,141.4,120.9
594,3055,afwq5kw,蔚華科技股份有限公司,蔚華科,True,10,110.9,167.6,133.1,120.7
1012,4968,112000xs,立積電子股份有限公司,立積,True,38,193.8,154.2,146.5,120.6
373,2436,a5hgyk8,偉詮電子股份有限公司,偉詮電,True,14,193.8,126.7,127.9,120.2
450,2605,1a2x6big6y,新興航運股份有限公司,新興,True,0,127.2,197.0,139.6,120.2
831,3693,18k4az8o,營邦企業股份有限公司,營邦,True,51,138.1,138.1,141.9,120.1
35,1308,0,亞洲聚合股份有限公司,亞聚,False,0,111.7,129.0,128.3,119.9
472,2645,7e876oo,長榮航太科技股份有限公司,長榮航太,True,1,127.2,129.0,126.0,119.9
659,3231,5wthkkw,緯創資通股份有限公司,緯創,True,295,138.1,146.6,133.8,119.6
714,3388,12xn9s1s,崇越電通股份有限公司,崇越電,True,2,94.0,167.2,120.4,119.5
1532,8054,wd7ilhc,"安國國際科技股份有限公司(Alcor Micro,Corp.)",安國,True,2,193.8,161.4,150.8,119.4
1255,6212,3hvfrts,理銘開發股份有限公司,理銘,False,0,105.5,139.3,136.7,118.9
151,1609,v96tltk,大亞電線電纜股份有限公司,大亞,True,14,88.7,153.7,130.0,118.6
1567,8112,a9xwf88,至上集團_至上電子股份有限公司,至上,True,25,110.9,205.8,136.1,118.6
313,2353,9kgoqw8,宏碁股份有限公司,宏碁,True,40,138.1,143.5,142.2,118.6
1052,5272,cua49yg,笙科電子股份有限公司,笙科,True,4,193.8,139.6,134.1,118.4
1433,6691,e7e0jmo,洋基工程股份有限公司,洋基工程,True,91,134.7,286.3,146.8,118.0
516,2882,wjct48g,國泰金控_國泰金融控股股份有限公司,國泰金,True,176,134.3,113.2,144.3,117.9
1349,6492,1a2x6bidlh,生華生物科技股份有限公司,生華科,True,2,88.8,175.2,114.7,117.9
1504,6902,1oz56mw,Gogolook_走著瞧股份有限公司,走著瞧-創,True,10,100.7,167.4,136.3,117.9
514,2880,0,華南金融控股股份有限公司,華南金,False,0,134.3,141.9,136.0,117.8
573,3032,vyog08w,偉訓科技股份有限公司,偉訓,True,8,94.0,173.0,127.6,117.5
1630,8464,d6le14g,億豐綜合工業股份有限公司,億豐,True,30,80.9,192.0,145.5,117.3
302,2337,a5hi0dc,旺宏電子股份有限公司,旺宏,True,60,193.8,134.4,138.2,117.3
1039,5213,15bsos08,亞昕國際開發股份有限公司,亞昕,True,28,105.5,132.4,121.5,117.2
647,3211,7mhex9s,順達科技股份有限公司,順達,True,19,138.1,129.2,125.2,116.8
1266,6223,156ljehc,旺矽科技股份有限公司,旺矽,True,51,193.8,121.6,132.6,116.7
515,2881,1jt9s7c,富邦金融控股股份有限公司,富邦金,True,36,134.3,115.1,144.2,116.4
665,3259,7pam4d4,鑫創科技股份有限公司,鑫創,True,3,193.8,120.1,120.0,116.3
615,3094,12noldlk,聯傑國際股份有限公司,聯傑,True,0,193.8,135.3,118.3,116.1
519,2885,wiuk154,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),元大金,True,589,134.3,168.4,136.8,116.0
1144,5609,jg90ow,中菲行國際物流股份有限公司,中菲行,True,13,127.2,114.7,219.4,115.9
664,3257,7ermtew,虹冠電子工業股份有限公司,虹冠電,True,5,193.8,200.7,137.9,115.6
518,2884,0,玉山金融控股股份有限公司,玉山金,False,0,134.3,142.7,128.3,115.6
218,2002,dyztbmg,中國鋼鐵股份有限公司,中鋼,True,1,97.9,129.4,124.0,115.6
411,2489,130l2f5s,瑞軒科技股份有限公司,瑞軒,True,53,90.6,116.3,130.2,115.5
524,2890,10wkawpk,永豐金融控股股份有限公司 (永豐銀行/永豐金證券/永豐金租賃),永豐金,True,0,134.3,147.8,136.0,115.4
553,3010,yovc2m0,華立企業股份有限公司,華立,True,22,110.9,186.7,139.4,115.3
1430,6684,ofdl160,安格科技股份有限公司,安格,True,1,193.8,144.2,130.4,115.1
1127,5520,uibdsw8,力泰建設企業股份有限公司,力泰,True,0,105.5,139.5,132.7,114.8
1044,5234,d0z38kg,達興材料股份有限公司,達興材料,True,11,90.6,167.4,150.7,114.4
273,2227,10rlavdc,裕隆集團_裕隆日產汽車股份有限公司,裕日車,True,16,86.6,118.7,120.5,114.2
1498,6874,wcvhu08,倍力資訊股份有限公司,倍力,True,8,107.4,130.6,119.4,113.9
1320,6414,wbygn1s,樺漢科技股份有限公司_鴻海集團,樺漢,True,27,138.1,188.5,134.7,113.6
